battle_url,location
https://en.wikipedia.org/wiki/Battle_of_the_Eurymedon,"Eurymedon River(modern-day Köprüçay River, Antalya, Turkey)36°49′48″N 31°10′23″E﻿ / ﻿36.83000°N 31.17306°E﻿ / 36.83000; 31.17306"
https://en.wikipedia.org/wiki/Battle_of_Mount_Algidus,"Mount Algidus, near Rome41°43′23.002″N 12°46′9.998″E﻿ / ﻿41.72305611°N 12.76944389°E﻿ / 41.72305611; 12.76944389"
https://en.wikipedia.org/wiki/Battle_of_Tanagra_(457_BC),Tanagra
https://en.wikipedia.org/wiki/Battle_of_Oenophyta,Oenophyta
https://en.wikipedia.org/wiki/Siege_of_Prosoptis,"Mainland Greece, Thrace, Asia Minor, Cyprus, and Egypt"
https://en.wikipedia.org/wiki/Wars_of_the_Delian_League,"Mainland Greece, Thrace, Asia Minor, Cyprus, and Egypt"
https://en.wikipedia.org/wiki/Battle_of_Jinyang,"Taiyuan, Shanxi"
https://en.wikipedia.org/wiki/Siege_of_Citium,"Mainland Greece, Thrace, Asia Minor, Cyprus, and Egypt"
https://en.wikipedia.org/wiki/Battle_of_Salamis_(in_Cyprus),"Mainland Greece, Thrace, Asia Minor, Cyprus, and Egypt"
https://en.wikipedia.org/wiki/Battle_of_Nomae,Nomae
https://en.wikipedia.org/wiki/Battle_of_Coronea_(447_BC),Coronea
https://en.wikipedia.org/wiki/Battle_of_the_Himera_River_(446_BC),"The Himera River, either the modern Salso or the Grande, on Sicily, Italy"
https://en.wikipedia.org/wiki/Capture_of_Fidenae_(435_BC),"Fidenae, about 8 km north of Rome"
https://en.wikipedia.org/wiki/Battle_of_Sybota,Off Corcyra
https://en.wikipedia.org/wiki/Battle_of_Potidaea,Potidaea40°11′37″N 23°19′40″E﻿ / ﻿40.1937°N 23.3278°E﻿ / 40.1937; 23.3278
https://en.wikipedia.org/wiki/Battle_of_Spartolos,Chalcidice40°17′00″N 23°17′43″E﻿ / ﻿40.2832°N 23.2954°E﻿ / 40.2832; 23.2954
https://en.wikipedia.org/wiki/Battle_of_Rhium,"The mouth of the Corinthian Gulf, near present-day Rio, Greece"
https://en.wikipedia.org/wiki/Battle_of_Naupactus_(429_BC),Off Naupactus
https://en.wikipedia.org/wiki/Mytilenean_revolt,Lesbos
https://en.wikipedia.org/wiki/Siege_of_Plataea,Plataea
https://en.wikipedia.org/wiki/Battle_of_Tanagra_(426_BC),Tanagra
https://en.wikipedia.org/wiki/Battle_of_Olpae,Olpae38°57′00″N 21°08′59″E﻿ / ﻿38.949996°N 21.149835°E﻿ / 38.949996; 21.149835
https://en.wikipedia.org/wiki/Battle_of_Idomene,Idomene
https://en.wikipedia.org/wiki/Battle_of_Pylos,Pylos36°55′N 21°42′E﻿ / ﻿36.917°N 21.700°E﻿ / 36.917; 21.700
https://en.wikipedia.org/wiki/Battle_of_Sphacteria,"Sphacteria, a small island at the entrance to the bay of Pylos"
https://en.wikipedia.org/wiki/Battle_of_Megara,"Megara, Greece"
https://en.wikipedia.org/wiki/Battle_of_Delium,Delium
https://en.wikipedia.org/wiki/Battle_of_Lyncestis,Lyncestis
https://en.wikipedia.org/wiki/Battle_of_Amphipolis,Amphipolis40°49′25″N 23°50′49″E﻿ / ﻿40.823681°N 23.84705°E﻿ / 40.823681; 23.84705
https://en.wikipedia.org/wiki/Battle_of_Mantinea_(418_BC),Mantinea37°36′N 22°24′E﻿ / ﻿37.6°N 22.4°E﻿ / 37.6; 22.4
https://en.wikipedia.org/wiki/Battle_of_Hysiae_(417_BC),"Hysiae, Argolis"
https://en.wikipedia.org/wiki/Battle_of_Orneae,"Orneae, Argolis"
https://en.wikipedia.org/wiki/Sicilian_Expedition,"Sicily, Italy"
https://en.wikipedia.org/wiki/Battle_of_Eretria,off the coast of Euboea
https://en.wikipedia.org/wiki/Battle_of_Syme,Off Syme
https://en.wikipedia.org/wiki/Battle_of_Cynossema,"Off Cynossema, in the Thracian Chersonese(modern-day Kilitbahir, Eceabat, Çanakkale, Turkey)40°08′33″N 26°23′16″E﻿ / ﻿40.142369°N 26.38775°E﻿ / 40.142369; 26.38775"
https://en.wikipedia.org/wiki/Battle_of_Abydos,"Near Abydos, in the Hellespont(modern-day Nara Burnu, Çanakkale, Turkey)"
https://en.wikipedia.org/wiki/Battle_of_Cyzicus,"Near Cyzicus, Hellespont, modern Turkey40°23′N 27°53′E﻿ / ﻿40.38°N 27.89°E﻿ / 40.38; 27.89"
https://en.wikipedia.org/wiki/Battle_of_Selinus,Selinus
https://en.wikipedia.org/wiki/Battle_of_Himera_(409_BC),"Himera, Sicily"
https://en.wikipedia.org/wiki/Battle_of_Notium,"Near Ephesus and Notium(modern-day İzmir, Turkey)37°59′34″N 26°50′51″E﻿ / ﻿37.99278°N 26.84750°E﻿ / 37.99278; 26.84750"
https://en.wikipedia.org/wiki/Battle_of_Mytilene_(406_BC),Mytilene
https://en.wikipedia.org/wiki/Battle_of_Arginusae,"Arginusae Islands(modern-day Dikili, İzmir, Turkey)39°02′N 26°48′E﻿ / ﻿39.033°N 26.800°E﻿ / 39.033; 26.800"
https://en.wikipedia.org/wiki/Siege_of_Akragas_(406_BC),Akragas
https://en.wikipedia.org/wiki/Battle_of_Gela_(405_BC),"Gela, Sicily"
https://en.wikipedia.org/wiki/Battle_of_Aegospotami,"Aegospotami, Hellespont(present-day Çanakkale Province, Turkey)40°15′N 26°33′E﻿ / ﻿40.250°N 26.550°E﻿ / 40.250; 26.550"
https://en.wikipedia.org/wiki/Sack_of_Camarina_(405_BC),"Camarina, Sicily"
https://en.wikipedia.org/wiki/Battle_of_Phyle,"Near Phyle, Attica"
https://en.wikipedia.org/wiki/Battle_of_Munychia,"Munychia hill, in Piraeus"
https://en.wikipedia.org/wiki/Battle_of_Piraeus,"Piraeus, Athens"
https://en.wikipedia.org/wiki/Battle_of_Cunaxa,"Banks of the Euphrates, Achaemenid Empire (near present-day Baghdad, Iraq)33°19′30″N 44°04′48″E﻿ / ﻿33.32500°N 44.08000°E﻿ / 33.32500; 44.08000"
https://en.wikipedia.org/wiki/Siege_of_Motya,Motya
https://en.wikipedia.org/wiki/Battle_of_Messene,Messene
https://en.wikipedia.org/wiki/Battle_of_Catana_(397_BC),"Catana, Sicily"
https://en.wikipedia.org/wiki/Siege_of_Syracuse_(397_BC),"Syracuse, Sicily, Italy"
https://en.wikipedia.org/wiki/Battle_of_Veii,"Veii, near Rome"
